Data_Fraction,Samples,LR_RMSE,LR_R2,RF_RMSE,RF_R2,SVR_RMSE,SVR_R2,MLP_RMSE,MLP_R2,GPR_RMSE,GPR_R2,PINN_RMSE,PINN_R2
20%,1442,118.48073926372648,66.18705314705676,18.81398842940925,99.1475876987736,114.13016747619322,71.1047232001065,102.1952096792345,80.62252772510533,109.36639673164424,71.18919992772129,296.445110379251,-36.96814214070478
40%,2884,118.51002168908272,66.17033739303997,15.000600824282293,99.45856258212578,111.71331854598012,73.06208383573791,46.880220607221005,94.54290500654332,203.75433470860764,-0.00028202141366673317,221.2348306079472,22.214957615830468
60%,4326,118.45626581158487,66.2010205492734,13.370269833759114,99.56980491095034,111.23169938986457,72.37638573157807,46.015112348451744,94.57913996454862,203.85169088664287,-0.0958674348570776,161.86074826154177,55.29521808890653
80%,5768,118.43750878973276,66.21172353739773,12.394386030117651,99.62924082114586,111.28076251356916,72.21609591311048,47.12013629388519,94.22563109272252,56.22616812306128,92.38509508157709,120.34985010569564,69.60668364360356
100%,7211,118.41426910266587,66.2249820387142,10.990710205679722,99.70797129966208,108.84902041139486,74.13626262045247,47.73832742885039,93.75010965434731,203.5940960146514,0.1569427439776172,95.70082087210572,85.21465700685053
