Noise_Level,MLP_RMSE,PINN_RMSE,MLP_R2,PINN_R2
1%,51.21166824871109,37.16871067530476,92.93712418249842,96.64231431640674
3%,68.18318508186269,62.35745183113724,87.91960089943065,90.33470060259545
5%,97.55062965866499,85.86268608524024,75.78221894283092,81.86896046697645
10%,164.43537246268403,111.83060635739018,31.542996988076048,69.73326399452644
