Model,Metric,Mean,CI_95_Lower,CI_95_Upper
PINN (Proposed),R2 Score (%),85.2699041429546,84.39434794212852,86.0666449535724
PINN (Proposed),RMSE,95.45814342119125,92.19673657339584,98.68726761252348
GPR (Member 3),R2 Score (%),70.6792832632904,68.60674675050217,72.4381930417917
GPR (Member 3),RMSE,110.25560083642152,106.2892714648277,113.9585678751634
