,MAE (pm),RMSE (pm),R²
Linear Regression,72.62617731741398,133.8840604555436,0.8421025583766183
MLP,32.751227396184994,68.44594189865624,0.9587320637105616
SVR,28.61158771956384,59.66920106866984,0.9686369862282279
GPR,97.2937015156239,178.45294078379206,0.7194793986093421
Random Forest,23.725470335740063,62.810265381053654,0.9652480963462812
PINN,3.397778405556904,15.13821193000298,0.9979813245348256
